"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","ECLI identifier","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"THE MULTILINGUAL INFORMATION SOCIETY - COMMUNICATION FROM THE COMMISSION","/* COM/95/486 FINAL */","51995DC0486","","","","","Communication","","","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS","1995-11-08","","European Commission","","No end date","","","","","",
"European Parliament","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1994-11-28","1994-11-28","Not available","","","","","","","OJ C 332, 28/11/1994, p. 1–59
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"List of documents forwarded by the Commission to the Council during the period 19 to 23. 9. 1994","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1994-10-04","1994-10-04","Not available","","","","","","","OJ C 277, 04/10/1994, p. 3–5
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"COMMUNICATION FROM THE COMMISSION TO THE COUNCIL AND THE EUROPEAN PARLIAMENT Final evaluation of the results of Eurotra: a specific programme concerning the preparation of the development of an operational Eurotra system for Machine Translation","/* COM/1994/69 FINAL */","51994DC0069","","","","","Communication","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31975L0442, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31991L0689","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS","1994-09-21","","European Commission","","No end date","","","","","",
"COMMISSION REPORT ON COORDINATION OF THE ACTIVITIES IN FAVOUR OF SMALL AND MEDIUM-SIZED ENTERPRISES (SMEs)","/* COM/94/221FINAL */","51994DC0221(02)","","","","","Report","","","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS","1994-09-07","","European Commission","","No end date","","","","","",
"FOURTH COMMISSION ACTIVITY REPORT ON ENTERPRISE POLICY - YEAR 1993","/* COM/94/221FINAL */","51994DC0221(01)","","","","","Report","","","","","","ALL_ALL, EU_LAW_ALL, PRE_ACTS","1994-09-07","","European Commission","","No end date","","","","","",
"European economic interest grouping — Notices published pursuant to Council Regulation (EEC) No 2137/85 of 25 July 1985 — Formation","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1993-07-31","1993-07-31","Not available","","","","","","","OJ C 208, 31/07/1993, p. 22–22
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"ALEP system — Call for tenders for distribution, maintenance and support of the ALEP system","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1993-07-31","1993-07-31","Not available","","","","","","","OJ C 208, 31/07/1993, p. 22–23
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"Minutes of the sitting of Thurday, 21 January 1993","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1993-02-15","1993-02-15","Not available","","","","","","","OJ C 42, 15/02/1993, p. 145–198
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"92/41/EEC, Euratom, ECSC: Final Adoption of the general budget of the European Communities for the financial year 1992","","31992B0041","","","","","Budget","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11975R, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A177, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:41988A0715(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11951K078, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E203, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31977Q1231","","","","ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","1991-12-18","1992-02-03","European Parliament","1992-01-01","1992-12-31","","","","false","OJ L 26, 03/02/1992, p. 1–1575
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"Written Questions with answer","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1991-09-16","1991-09-16","Not available","","","","","","","OJ C 241, 16/09/1991, p. 1–45
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"Call for proposals for the Specific Programme of research and technology development in the field of Telematic Systems of General Interest","","","","","","","Provisional data","","","","","","ALL_ALL, PUBLISHED_IN_OJ","1991-08-21","1991-08-21","Not available","","","","","","","OJ C 218, 21/08/1991, p. 6–7
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
"91/353/EEC: Council Decision of 7 June 1991 adopting a specific programme of research and technological development in the field of telematic systems in areas of general interest (1990 to 1994)","","31991D0353","","","","http://data.europa.eu/eli/dec/1991/353/oj","Decision","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E149, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957E130Q","","","","ALL_ALL, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","1991-06-07","1991-07-16","Council of the European Union","1991-07-05, 1991-06-07","1994-12-31","","","","false","OJ L 192, 16/07/1991, p. 18–28
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
